date,title,time,venue,city,url,featured,image,badge
2026-04-01,KVBA Spring Fling,April 2026,,Kalamazoo MI,,yes,assets/spring_fling_april2026.webp,🌸 SPRING FLING
2026-06-05,Birdies Bogeys & Blues Golf Outing,2:00 PM Shotgun,Heritage Glen,"Paw Paw, MI",golf.html,yes,Images/golf_outing_poster.jpg,⛳ GOLF OUTING
2026-03-19,Blues Jam w/the Cats,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-03-19,OFB2,7pm,O'Duffy's Pub,"Kalamazoo, MI",,,,
2026-03-21,Tonya Martini & the Bluestones,5-8pm,Horrocks,"Battle Creek, MI",,,,
2026-03-21,The Steve Hilger Blues Trio,noon-4pm,The B.O.B.,"Grand Rapids, MI",,,,
2026-03-22,Blues Jam w/Jim Klein Band,6pm,Old Tavern,"Kalamazoo, MI",,,,
2026-03-26,BlueBack CD Release Party,7:30-9:30pm,Crawlspace Theatre,"Kalamazoo, MI",,,,
2026-03-29,Blues Jam w/TBA,7pm,Old Dog Tavern,"Kalamazoo, MI",,,,
2026-04-02,Blues Jam w/7th Son,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-04-05,The Drivers,3pm,Sand Bar Saloon,"Saugatuck, MI",,,,
2026-04-06,Maurice John Vaughn / Blues Jam,7pm / 8:30pm,Blues at the Bohm,"Albion, MI",,,,
2026-04-09,Blues Jam w/Crossroads Resurrection,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-04-12,KVBA Winter Blues Series,TBA,The Dock,"Richland (Gull Lake), MI",,,,
2026-04-16,Blues Jam w/the Cats,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-04-16,Weis & Hunt,6-9pm,Moonraker Restaurant,"Battle Creek, MI",,,,
2026-04-18,Tonya Martini & the Bluestones,5-8pm,Horrocks,"Battle Creek, MI",,,,
2026-04-23,Blues Jam w/Blueback,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-04-24,Resurrection Blues Band,,The Acorn Theater,"Three Oaks, MI",,,,
2026-04-30,Blues Jam w/Jim Klein Band,6pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-05-02,Steve Hilger Blues Trio,8pm-midnight,Rogue River Tavern,"Rockford, MI",,,,
2026-05-03,Steve Hilger Blues Trio,2-3pm,Spring Lake Library,"Spring Lake, MI",,,,
2026-05-04,Reverend Raven and the Chain Smokin Altar Boys / Blues Jam,7pm / 8:30pm,Blues at the Bohm,"Albion, MI",,,,
2026-06-12,Steve Hilger Blues Trio,7-10pm,BoDocks,"Muskegon, MI",,,,
2026-06-27,Tonya Martini & the Bluestones,5-8pm,Horrocks,"Battle Creek, MI",,,,
2026-06-27,Blues Jam w/Jim Klein Band,6-9pm,Shakespeare's Lower Level,"Kalamazoo, MI",,,,
2026-07-25,Steve Hilger Blues Trio,7-10pm,BoDocks,"Muskegon, MI",,,,
2026-07-29,Steve Hilger Blues Trio,7-10pm,Big Rapids Concert Series,"Big Rapids, MI",,,,
2026-08-30,Steve Hilger Blues Trio,7-10pm,BoDocks,"Muskegon, MI",,,,
